Input,Output,Target
"['i', 'have', 'the', 'money', 'EOS']","['el', 'el', 'SOS', 'EOS']","['tengo', 'el', 'dinero', 'EOS', 'SOS']"
"['you', 're', 'very', 'drunk', 'EOS']","['eres', 'muy', '?', 'EOS']","['estas', 'muy', 'borracho', 'EOS', 'SOS']"
"['they', 'entered', 'cautiously', 'EOS', 'SOS']","['ellos', 'de', 'EOS']","['entraron', 'sin', 'meter', 'ruido', 'EOS']"
"['it', 's', 'not', 'biodegradable', 'EOS']","['no', 'es', 'muy', 'EOS']","['no', 'es', 'biodegradable', 'EOS', 'SOS']"
"['mary', 'looks', 'beautiful', 'EOS', 'SOS']","['tom', 'es', 've', 'EOS']","['mary', 'se', 've', 'hermosa', 'EOS']"
"['tom', 'needed', 'rest', 'EOS', 'SOS']","['tom', 'se', 'a', 'EOS']","['tom', 'necesitaba', 'descansar', 'EOS', 'SOS']"
"['tom', 'needs', 'to', 'relax', 'EOS']","['tom', 'no', 'a', 'EOS']","['tom', 'necesita', 'relajarse', 'EOS', 'SOS']"
"['i', 'haven', 't', 'forgotten', 'EOS']","['no', 'no', 'no', 'EOS']","['no', 'lo', 'he', 'olvidado', 'EOS']"
"['he', 'adopted', 'the', 'orphan', 'EOS']","['el', 'el', 'el', 'EOS']","['el', 'adopto', 'al', 'huerfano', 'EOS']"
"['i', 'have', 'a', 'headache', 'EOS']","['tengo', 'un', 'EOS']","['me', 'duele', 'la', 'cabeza', 'EOS']"
"['tom', 'is', 'very', 'intelligent', 'EOS']","['tom', 'es', 'muy', 'EOS']","['tom', 'es', 'muy', 'inteligente', 'EOS']"
"['lying', 'is', 'wrong', 'EOS', 'SOS']","['el', 'es', 'es', 'EOS']","['mentir', 'esta', 'mal', 'EOS', 'SOS']"
"['he', 'reached', 'his', 'goal', 'EOS']","['el', 'se', 'el', 'EOS']","['el', 'alcanzo', 'su', 'meta', 'EOS']"
"['i', 'm', 'not', 'bald', 'EOS']","['no', 'estoy', 'EOS']","['no', 'estoy', 'calvo', 'EOS', 'SOS']"
"['they', 're', 'fast', 'EOS', 'SOS']","['ellos', 'EOS']","['son', 'rapidos', 'EOS', 'SOS', 'SOS']"
"['we', 'have', 'two', 'daughters', 'EOS']","['no', 'un', 'EOS']","['tenemos', 'dos', 'hijas', 'EOS', 'SOS']"
"['are', 'they', 'gone', '?', 'EOS']","['estas', 'estas', '?', '?', 'EOS']","['se', 'han', 'marchado', '?', 'EOS']"
"['you', 're', 'my', 'type', 'EOS']","['eres', 'muy', 'EOS']","['eres', 'mi', 'tipo', 'EOS', 'SOS']"
"['tom', 'is', 'my', 'dentist', 'EOS']","['tom', 'es', 'mi', 'EOS']","['tom', 'es', 'mi', 'dentista', 'EOS']"
"['take', 'us', 'there', 'EOS', 'SOS']","['nos', 'a', 'EOS']","['llevanos', 'alli', 'EOS', 'SOS', 'SOS']"
"['i', 'come', 'from', 'brazil', 'EOS']","['yo', 'a', 'SOS', 'EOS']","['vengo', 'de', 'brasil', 'EOS', 'SOS']"
"['i', 'drive', 'a', 'bmw', 'EOS']","['me', 'un', 'un', 'EOS']","['llevo', 'un', 'bmw', 'EOS', 'SOS']"
"['tom', 'followed', 'his', 'instincts', 'EOS']","['tom', 'no', 'a', 'EOS']","['tom', 'siguio', 'sus', 'instintos', 'EOS']"
"['mary', 'i', 'love', 'you', 'EOS']","['me', 'un', 'un', 'EOS']","['mary', 'te', 'amo', 'EOS', 'SOS']"
"['you', 'll', 'understand', 'later', 'EOS']","['no', 'a', 'EOS']","['comprenderas', 'luego', 'EOS', 'SOS', 'SOS']"
"['keep', 'this', 'EOS', 'SOS', 'SOS']","['esto', 'EOS']","['guarda', 'esto', 'EOS', 'SOS', 'SOS']"
"['send', 'me', 'a', 'message', 'EOS']","['yo', 'un', 'SOS', 'EOS']","['enviame', 'un', 'mensaje', 'EOS', 'SOS']"
"['tell', 'me', 'your', 'name', 'EOS']","['me', 'tu', 'EOS']","['dime', 'tu', 'nombre', 'EOS', 'SOS']"
"['tom', 'never', 'was', 'poor', 'EOS']","['tom', 'estaba', 'estaba', 'EOS']","['tom', 'nunca', 'fue', 'pobre', 'EOS']"
"['you', 're', 'my', 'enemies', 'EOS']","['eres', 'muy', 'EOS']","['sois', 'mis', 'enemigas', 'EOS', 'SOS']"
"['tom', 'spoke', 'calmly', 'EOS', 'SOS']","['tom', 'se', 'a', 'EOS']","['tom', 'hablo', 'con', 'calma', 'EOS']"
"['you', 've', 'tried', 'EOS', 'SOS']","['te', 'te', 'EOS']","['lo', 'has', 'intentado', 'EOS', 'SOS']"
"['he', 'is', 'nasty', 'EOS', 'SOS']","['el', 'es', 'es', 'EOS']","['el', 'da', 'grima', 'EOS', 'SOS']"
"['he', 'had', 'just', 'arrived', 'EOS']","['el', 'se', 'el', 'SOS', 'EOS']","['el', 'acababa', 'de', 'llegar', 'EOS']"
"['we', 'should', 'work', 'faster', 'EOS']","['estamos', 'a', 'EOS']","['deberiamos', 'trabajar', 'mas', 'rapido', 'EOS']"
"['tom', 'is', 'from', 'australia', 'EOS']","['tom', 'es', 'muy', 'SOS', 'EOS']","['tom', 'es', 'de', 'australia', 'EOS']"
"['i', 'was', 'your', 'friend', 'EOS']","['me', 'me', 'tu', 'EOS']","['yo', 'era', 'tu', 'amiga', 'EOS']"
"['put', 'out', 'the', 'light', 'EOS']","['el', 'el', 'habitacion', 'EOS']","['apaga', 'la', 'luz', 'EOS', 'SOS']"
"['tom', 'is', 'canadian', 'EOS', 'SOS']","['tom', 'es', 'muy', 'EOS']","['tom', 'es', 'canadiense', 'EOS', 'SOS']"
"['i', 'was', 'abducted', 'EOS', 'SOS']","['eso', 'gusta', 'EOS']","['me', 'raptaron', 'EOS', 'SOS', 'SOS']"
"['help', 'tom', 'out', 'EOS', 'SOS']","['tom', 'a', 'tom', 'EOS']","['ayuda', 'a', 'tom', 'EOS', 'SOS']"
"['tell', 'tom', 'EOS', 'SOS', 'SOS']","['tom', 'a', 'tom', 'EOS']","['diselo', 'a', 'tom', 'EOS', 'SOS']"
"['i', 'need', 'more', 'EOS', 'SOS']","['necesito', 'EOS']","['quiero', 'un', 'poco', 'mas', 'EOS']"
"['i', 'm', 'really', 'hungry', 'EOS']","['estoy', 'estoy', 'EOS']","['tengo', 'muchisima', 'hambre', 'EOS', 'SOS']"
"['we', 're', 'watching', 'EOS', 'SOS']","['estamos', 'EOS']","['estamos', 'mirando', 'EOS', 'SOS', 'SOS']"
"['that', 'perfume', 'smells', 'good', 'EOS']","['eso', 'es', 'es', 'EOS']","['ese', 'perfume', 'huele', 'bien', 'EOS']"
"['tom', 'swore', 'EOS', 'SOS', 'SOS']","['tom', 'se', 'EOS']","['tom', 'juro', 'EOS', 'SOS', 'SOS']"
"['you', 'can', 'wait', 'here', 'EOS']","['no', 'aqui', 'EOS']","['puedes', 'esperar', 'aqui', 'EOS', 'SOS']"
"['you', 're', 'quite', 'smart', 'EOS']","['eres', 'muy', 'EOS']","['eres', 'bastante', 'listo', 'EOS', 'SOS']"
"['they', 'pay', 'well', 'EOS', 'SOS']","['ellos', 'son', 'EOS']","['ellos', 'pagan', 'bien', 'EOS', 'SOS']"
"['i', 'can', 't', 'understand', 'EOS']","['no', 'no', 'EOS']","['no', 'puedo', 'entender', 'EOS', 'SOS']"
"['tom', 'felt', 'weak', 'EOS', 'SOS']","['tom', 'se', 'tom', 'EOS']","['tom', 'se', 'sentia', 'debil', 'EOS']"
"['tom', 'disappeared', 'EOS', 'SOS', 'SOS']","['tom', 'se', 'EOS']","['tom', 'desaparecio', 'EOS', 'SOS', 'SOS']"
"['i', 'raised', 'tom', 'EOS', 'SOS']","['tom', 'a', 'tom', 'EOS']","['crie', 'a', 'tom', 'EOS', 'SOS']"
"['i', 'feel', 'alive', 'EOS', 'SOS']","['me', 'siento', 'EOS']","['me', 'siento', 'viva', 'EOS', 'SOS']"
"['she', 's', 'an', 'angel', 'EOS']","['ella', 'mi', 'perro', 'EOS']","['es', 'un', 'angel', 'EOS', 'SOS']"
"['you', 'don', 't', 'say', 'EOS']","['no', 'no', 'no', 'EOS']","['no', 'me', 'digas', 'EOS', 'SOS']"
"['i', 'hate', 'karaoke', 'EOS', 'SOS']","['me', 'a', 'EOS']","['odio', 'el', 'karaoke', 'EOS', 'SOS']"
"['tom', 'vanished', 'EOS', 'SOS', 'SOS']","['tom', 'a', 'EOS']","['tomas', 'desaparecio', 'EOS', 'SOS', 'SOS']"
"['tom', 'was', 'really', 'sick', 'EOS']","['tom', 'estaba', 'muy', 'EOS']","['tom', 'estaba', 'muy', 'enfermo', 'EOS']"
"['it', 'snowed', 'in', 'boston', 'EOS']","['me', 'a', 'EOS']","['nevo', 'en', 'boston', 'EOS', 'SOS']"
"['we', 'broke', 'up', 'EOS', 'SOS']","['nos', 'nos', 'EOS']","['nos', 'separamos', 'EOS', 'SOS', 'SOS']"
"['tom', 'decided', 'to', 'protest', 'EOS']","['tom', 'no', 'a', 'EOS']","['tom', 'decidio', 'protestar', 'EOS', 'SOS']"
"['you', 'ruined', 'my', 'life', 'EOS']","['eres', 'mi', 'mi', 'EOS']","['arruinaste', 'mi', 'vida', 'EOS', 'SOS']"
"['tom', 'needs', 'attention', 'EOS', 'SOS']","['tom', 'se', 'a', 'EOS']","['tom', 'necesita', 'atencion', 'EOS', 'SOS']"
"['the', 'effects', 'are', 'reversible', 'EOS']","['el', 'son', 'la', 'EOS']","['los', 'efectos', 'son', 'reversibles', 'EOS']"
"['i', 'm', 'waiting', 'EOS', 'SOS']","['estoy', 'estoy', 'EOS']","['estoy', 'esperando', 'EOS', 'SOS', 'SOS']"
"['how', 'strange', '!', 'EOS', 'SOS']","['ella', '!', '!', 'EOS']","['que', 'raro', '!', 'EOS', 'SOS']"
"['we', 'must', 'pay', 'taxes', 'EOS']","['ellos', 'a', 'EOS']","['debemos', 'pagar', 'impuestos', 'EOS', 'SOS']"
"['i', 'll', 'decide', 'tomorrow', 'EOS']","['yo', 'a', 'EOS']","['manana', 'tomare', 'una', 'decision', 'EOS']"
"['we', 'made', 'waffles', 'EOS', 'SOS']","['ellos', 'lo', 'EOS']","['hicimos', 'waffles', 'EOS', 'SOS', 'SOS']"
"['tom', 'never', 'got', 'married', 'EOS']","['tom', 'no', 'tom', 'EOS']","['tom', 'nunca', 'se', 'caso', 'EOS']"
"['write', 'this', 'down', 'EOS', 'SOS']","['esto', 'es', 'EOS']","['anota', 'esto', 'EOS', 'SOS', 'SOS']"
"['he', 'died', 'suddenly', 'EOS', 'SOS']","['el', 'se', 'EOS']","['se', 'murio', 'de', 'repente', 'EOS']"
"['tom', 'declined', 'the', 'offer', 'EOS']","['tom', 'se', 'el', 'EOS']","['tom', 'rechazo', 'la', 'oferta', 'EOS']"
"['she', 'is', 'a', 'nurse', 'EOS']","['ella', 'es', 'un', 'EOS']","['ella', 'es', 'una', 'enfermera', 'EOS']"
"['they', 'should', 'know', 'it', 'EOS']","['ellos', 'lo', 'EOS']","['ellos', 'deberian', 'saberlo', 'EOS', 'SOS']"
"['i', 'liked', 'tom', 'EOS', 'SOS']","['tom', 'a', 'tom', 'EOS']","['amaba', 'a', 'tom', 'EOS', 'SOS']"
"['tom', 'was', 'acquitted', 'EOS', 'SOS']","['tom', 'estaba', 'EOS']","['tom', 'fue', 'absuelto', 'EOS', 'SOS']"
"['tom', 'is', 'a', 'priest', 'EOS']","['tom', 'es', 'un', 'EOS']","['tom', 'es', 'sacerdote', 'EOS', 'SOS']"
"['i', 'm', 'very', 'frightened', 'EOS']","['estoy', 'muy', 'EOS']","['estoy', 'muy', 'asustada', 'EOS', 'SOS']"
"['we', 'arrived', 'home', 'late', 'EOS']","['ellos', 'que', 'EOS']","['llegamos', 'tarde', 'a', 'casa', 'EOS']"
"['say', 'it', 'again', 'EOS', 'SOS']","['lo', 'EOS']","['repitelo', 'EOS', 'SOS', 'SOS', 'SOS']"
"['we', 're', 'in', 'charge', 'EOS']","['estamos', 'muy', 'EOS']","['estamos', 'a', 'cargo', 'EOS', 'SOS']"
"['we', 're', 'thieves', 'EOS', 'SOS']","['estamos', 'EOS']","['somos', 'ladrones', 'EOS', 'SOS', 'SOS']"
"['tom', 'is', 'grilling', 'meat', 'EOS']","['tom', 'es', 'muy', 'EOS']","['tom', 'esta', 'asando', 'carne', 'EOS']"
"['my', 'wife', 'was', 'there', 'EOS']","['mi', 'fue', 'es', 'EOS']","['mi', 'mujer', 'estaba', 'alli', 'EOS']"
"['i', 'have', 'ten', 'pens', 'EOS']","['tengo', 'un', 'EOS']","['tengo', 'diez', 'lapiceras', 'EOS', 'SOS']"
"['he', 'wants', 'the', 'money', 'EOS']","['el', 'el', 'el', 'SOS', 'EOS']","['el', 'quiere', 'el', 'dinero', 'EOS']"
"['turn', 'the', 'volume', 'down', 'EOS']","['el', 'el', 'SOS', 'EOS']","['baje', 'el', 'volumen', 'EOS', 'SOS']"
"['you', 'have', 'many', 'friends', 'EOS']","['eres', 'un', 'EOS']","['teneis', 'muchos', 'amigos', 'EOS', 'SOS']"
"['wait', 'for', 'us', 'here', 'EOS']","['ella', 'aqui', 'favor', 'EOS']","['espera', 'por', 'nosotros', 'aqui', 'EOS']"
"['can', 'you', 'help', '?', 'EOS']","['estas', '?', '?', 'EOS']","['puedes', 'ayudar', '?', 'EOS', 'SOS']"
"['call', 'the', 'hospital', 'EOS', 'SOS']","['el', 'el', 'EOS']","['llama', 'al', 'hospital', 'EOS', 'SOS']"
"['hold', 'on', 'a', 'minute', 'EOS']","['yo', 'un', 'SOS', 'EOS']","['espera', 'un', 'minuto', 'EOS', 'SOS']"
"['tom', 'makes', 'me', 'laugh', 'EOS']","['tom', 'tiene', 'gusta', 'EOS']","['tom', 'me', 'hace', 'reir', 'EOS']"
"['don', 't', 'force', 'it', 'EOS']","['no', 'lo', 'EOS']","['no', 'lo', 'fuerces', 'EOS', 'SOS']"
"['i', 'need', 'a', 'stamp', 'EOS']","['necesito', 'un', 'un', 'EOS']","['necesito', 'un', 'sello', 'EOS', 'SOS']"
"['your', 'dog', 'is', 'here', 'EOS']","['el', 'es', 'esta', 'EOS']","['vuestro', 'perro', 'esta', 'aqui', 'EOS']"
"['tom', 'ate', 'quietly', 'EOS', 'SOS']","['tom', 'se', 'a', 'EOS']","['tom', 'comio', 'quedito', 'EOS', 'SOS']"
"['take', 'my', 'hand', 'EOS', 'SOS']","['me', 'a', 'EOS']","['toma', 'mi', 'mano', 'EOS', 'SOS']"
"['go', 'lie', 'down', 'EOS', 'SOS']","['ellos', 'a', 'EOS']","['ve', 'a', 'acostarte', 'EOS', 'SOS']"
"['i', 'feel', 'your', 'pain', 'EOS']","['me', 'tu', 'EOS']","['comparto', 'vuestro', 'dolor', 'EOS', 'SOS']"
"['you', 're', 'witty', 'EOS', 'SOS']","['eres', 'muy', 'EOS']","['eres', 'ocurrente', 'EOS', 'SOS', 'SOS']"
"['i', 'want', 'another', 'chance', 'EOS']","['quiero', 'un', 'EOS']","['quiero', 'otra', 'oportunidad', 'EOS', 'SOS']"
"['it', 's', 'our', 'job', 'EOS']","['es', 'muy', 'EOS']","['es', 'nuestro', 'trabajo', 'EOS', 'SOS']"
"['tom', 'was', 'completely', 'confused', 'EOS']","['tom', 'estaba', 'a', 'EOS']","['tom', 'estaba', 'completamente', 'confuso', 'EOS']"
"['please', 'get', 'in', 'EOS', 'SOS']","['por', 'favor', 'por', 'EOS']","['por', 'favor', 'subase', 'EOS', 'SOS']"
"['i', 'finished', 'eating', 'EOS', 'SOS']","['me', 'a', 'EOS']","['he', 'terminado', 'de', 'comer', 'EOS']"
"['keep', 'warm', 'EOS', 'SOS', 'SOS']","['ellos', 'EOS']","['mantenete', 'caliente', 'EOS', 'SOS', 'SOS']"
"['i', 'did', 'my', 'job', 'EOS']","['me', 'mi', 'mi', 'EOS']","['hice', 'mi', 'trabajo', 'EOS', 'SOS']"
"['i', 'almost', 'died', 'EOS', 'SOS']","['me', 'a', 'EOS']","['casi', 'mori', 'EOS', 'SOS', 'SOS']"
"['we', 'got', 'drunk', 'together', 'EOS']","['no', 'que', 'EOS']","['nos', 'emborrachamos', 'juntos', 'EOS', 'SOS']"
"['you', 'worry', 'about', 'everything', 'EOS']","['no', 'lo', 'la', 'favor', 'EOS']","['te', 'preocupas', 'por', 'todo', 'EOS']"
"['tom', 'is', 'very', 'blunt', 'EOS']","['tom', 'es', 'muy', 'EOS']","['tom', 'es', 'muy', 'directo', 'EOS']"
"['tom', 'ate', 'EOS', 'SOS', 'SOS']","['tom', 'a', 'EOS']","['tom', 'comio', 'EOS', 'SOS', 'SOS']"
"['try', 'again', 'EOS', 'SOS', 'SOS']","['lo', 'EOS']","['intentalo', 'de', 'nuevo', 'EOS', 'SOS']"
"['i', 'love', 'that', 'scarf', 'EOS']","['me', 'me', 'el', 'EOS']","['esa', 'bufanda', 'me', 'encanta', 'EOS']"
"['suddenly', 'i', 'blacked', 'out', 'EOS']","['me', 'me', 'EOS']","['de', 'repente', 'me', 'desmaye', 'EOS']"
"['this', 'plant', 'is', 'edible', 'EOS']","['este', 'es', 'es', 'EOS']","['esta', 'planta', 'es', 'comestible', 'EOS']"
"['i', 'never', 'suspected', 'anything', 'EOS']","['no', 'no', 'de', 'EOS']","['nunca', 'sospeche', 'nada', 'EOS', 'SOS']"
"['many', 'thanks', 'EOS', 'SOS', 'SOS']","['me', 'por', 'EOS']","['muchas', 'gracias', 'EOS', 'SOS', 'SOS']"
"['they', 'built', 'it', 'EOS', 'SOS']","['lo', 'lo', 'EOS']","['ellos', 'lo', 'construyeron', 'EOS', 'SOS']"
"['he', 'loves', 'singing', 'EOS', 'SOS']","['el', 'el', 'EOS']","['ama', 'cantar', 'EOS', 'SOS', 'SOS']"
"['i', 'will', 'wait', 'outside', 'EOS']","['yo', 'a', 'EOS']","['esperare', 'fuera', 'EOS', 'SOS', 'SOS']"
"['i', 'm', 'making', 'coffee', 'EOS']","['estoy', 'muy', 'EOS']","['estoy', 'haciendo', 'cafe', 'EOS', 'SOS']"
"['the', 'price', 'is', 'reasonable', 'EOS']","['el', 'es', 'es', 'EOS']","['el', 'precio', 'es', 'razonable', 'EOS']"
"['they', 'were', 'mostly', 'women', 'EOS']","['ellos', 'que', 'EOS']","['casi', 'todas', 'eran', 'mujeres', 'EOS']"
"['it', 'rained', 'this', 'afternoon', 'EOS']","['esto', 'es', 'muy', 'EOS']","['llovio', 'esta', 'tarde', 'EOS', 'SOS']"
"['tom', 'walked', 'home', 'EOS', 'SOS']","['tom', 'se', 'a', 'mary', 'EOS']","['tom', 'camino', 'a', 'casa', 'EOS']"
"['inhale', 'EOS', 'SOS', 'SOS', 'SOS']","['se', 'EOS']","['inspira', 'EOS', 'SOS', 'SOS', 'SOS']"
"['say', 'something', 'EOS', 'SOS', 'SOS']","['me', 'EOS']","['decid', 'algo', '!', 'EOS', 'SOS']"
"['start', 'again', 'EOS', 'SOS', 'SOS']","['me', 'a', 'SOS', 'EOS']","['empieza', 'de', 'nuevo', 'EOS', 'SOS']"
"['i', 'designed', 'it', 'EOS', 'SOS']","['lo', 'lo', 'EOS']","['yo', 'lo', 'disene', 'EOS', 'SOS']"
"['this', 'one', 'is', 'special', 'EOS']","['este', 'es', 'un', 'EOS']","['este', 'es', 'especial', 'EOS', 'SOS']"
"['it', 's', 'official', 'EOS', 'SOS']","['es', 'es', 'EOS']","['esto', 'es', 'oficial', 'EOS', 'SOS']"
"['his', 'feet', 'were', 'asleep', 'EOS']","['los', 'los', 'los', 'EOS']","['tenia', 'los', 'pies', 'dormidos', 'EOS']"
"['i', 'm', 'defenseless', 'EOS', 'SOS']","['estoy', 'estoy', 'EOS']","['estoy', 'indefenso', 'EOS', 'SOS', 'SOS']"
"['it', 's', 'too', 'dark', 'EOS']","['es', 'es', 'es', 'EOS']","['esta', 'muy', 'oscuro', 'EOS', 'SOS']"
"['don', 't', 'trust', 'him', 'EOS']","['no', 'no', 'EOS']","['no', 'confieis', 'en', 'el', 'EOS']"
"['our', 'request', 'was', 'approved', 'EOS']","['tom', 'fue', 'el', 'EOS']","['nuestra', 'solicitud', 'fue', 'aprobada', 'EOS']"
"['they', 'have', 'many', 'students', 'EOS']","['no', 'que', 'EOS']","['tienen', 'muchos', 'estudiantes', 'EOS', 'SOS']"
"['tom', 'looks', 'worn', 'out', 'EOS']","['tom', 'se', 'se', 'EOS']","['tom', 'se', 've', 'agotado', 'EOS']"
"['tom', 'has', 'abandoned', 'me', 'EOS']","['tom', 'tiene', 'gusta', 'mi', 'EOS']","['tom', 'me', 'ha', 'abandonado', 'EOS']"
"['i', 'want', 'my', 'mother', 'EOS']","['me', 'mi', 'mi', 'EOS']","['quiero', 'a', 'mi', 'madre', 'EOS']"
"['i', 'm', 'doing', 'great', 'EOS']","['estoy', 'estoy', 'EOS']","['me', 'va', 'genial', 'EOS', 'SOS']"
"['i', 'want', 'a', 'computer', 'EOS']","['quiero', 'un', 'un', 'EOS']","['quiero', 'una', 'computadora', 'EOS', 'SOS']"
"['look', 'at', 'that', 'mountain', 'EOS']","['no', 'a', 'EOS']","['miren', 'esa', 'montana', 'EOS', 'SOS']"
"['tomorrow', 'is', 'christmas', 'EOS', 'SOS']","['es', 'es', 'EOS']","['manana', 'es', 'navidad', 'EOS', 'SOS']"
"['i', 'trust', 'you', 'EOS', 'SOS']","['te', 'a', 'EOS']","['confio', 'en', 'ti', 'EOS', 'SOS']"
"['tom', 'is', 'a', 'soldier', 'EOS']","['tom', 'es', 'un', 'EOS']","['tom', 'es', 'soldado', 'EOS', 'SOS']"
"['it', 's', 'snowing', 'again', 'EOS']","['es', 'es', 'es', 'EOS']","['vuelve', 'a', 'nevar', 'EOS', 'SOS']"
"['it', 'went', 'badly', 'EOS', 'SOS']","['se', 'se', 'EOS']","['lo', 'paso', 'mal', 'EOS', 'SOS']"
"['here', 'is', 'the', 'map', 'EOS']","['el', 'es', 'es', 'es', 'EOS']","['aqui', 'esta', 'el', 'mapa', 'EOS']"
"['he', 'has', 'greasy', 'hair', 'EOS']","['el', 'tiene', 'el', 'EOS']","['el', 'tiene', 'pelo', 'graso', 'EOS']"
"['i', 'm', 'married', 'EOS', 'SOS']","['estoy', 'estoy', 'EOS']","['estoy', 'casado', 'EOS', 'SOS', 'SOS']"
"['nobody', 'wants', 'to', 'die', 'EOS']","['no', 'no', 'a', 'EOS']","['nadie', 'quiere', 'morir', 'EOS', 'SOS']"
"['everybody', 'is', 'fine', 'EOS', 'SOS']","['el', 'es', 'EOS']","['todos', 'estan', 'bien', 'EOS', 'SOS']"
"['go', 'on', 'in', 'EOS', 'SOS']","['lo', 'EOS']","['entre', 'EOS', 'SOS', 'SOS', 'SOS']"
"['how', 'thrilling', '!', 'EOS', 'SOS']","['ella', '!', '!', 'EOS']","['que', 'emocionante', '!', 'EOS', 'SOS']"
"['she', 'has', 'a', 'book', 'EOS']","['ella', 'es', 'un', 'SOS', 'EOS']","['ella', 'tiene', 'un', 'libro', 'EOS']"
"['i', 'like', 'your', 'cookies', 'EOS']","['me', 'gusta', 'tu', 'EOS']","['me', 'gustan', 'tus', 'galletas', 'EOS']"
"['i', 'knew', 'your', 'father', 'EOS']","['me', 'tu', 'tu', 'SOS', 'EOS']","['conoci', 'a', 'tu', 'padre', 'EOS']"
"['figure', 'it', 'out', 'yourself', 'EOS']","['que', 'que', 'EOS']","['descubrelo', 'por', 'ti', 'mismo', 'EOS']"
"['duck', '!', 'EOS', 'SOS', 'SOS']","['por', 'EOS']","['agachense', '!', 'EOS', 'SOS', 'SOS']"
"['he', 'hates', 'spiders', 'EOS', 'SOS']","['el', 'se', 'el', 'EOS']","['el', 'odia', 'las', 'aranas', 'EOS']"
"['yours', 'was', 'better', 'EOS', 'SOS']","['el', 'fue', 'el', 'EOS']","['el', 'tuyo', 'era', 'mejor', 'EOS']"
"['you', 'stink', 'EOS', 'SOS', 'SOS']","['te', 'EOS']","['apestas', 'EOS', 'SOS', 'SOS', 'SOS']"
"['tom', 'is', 'waiting', 'EOS', 'SOS']","['tom', 'es', 'EOS']","['tom', 'esta', 'esperando', 'EOS', 'SOS']"
"['i', 'm', 'a', 'witness', 'EOS']","['soy', 'un', 'EOS']","['soy', 'testigo', 'EOS', 'SOS', 'SOS']"
"['money', 'does', 'not', 'smell', 'EOS']","['no', 'no', 'no', 'EOS']","['el', 'dinero', 'no', 'huele', 'EOS']"
"['they', 'know', 'everything', 'EOS', 'SOS']","['ellos', 'se', 'EOS']","['ellos', 'saben', 'todo', 'EOS', 'SOS']"
"['tom', 'was', 'lying', 'EOS', 'SOS']","['tom', 'estaba', 'EOS']","['tom', 'estaba', 'mintiendo', 'EOS', 'SOS']"
"['the', 'dog', 'is', 'mine', 'EOS']","['el', 'es', 'es', 'EOS']","['el', 'perro', 'es', 'mio', 'EOS']"
"['we', 're', 'on', 'campus', 'EOS']","['estamos', 'muy', 'EOS']","['estamos', 'en', 'el', 'campus', 'EOS']"
